Ticker,ABBV,ACAD,ALGN,AMGN,AZN,BIIB,BNTX,CRSP,DRIO,DXCM,ENTA,EXAS,GILD,IBB,IHF,IHI,ILMN,INCY,JNJ,LLY,MRK,MRNA,NVAX,PFE,RARE,REGN,RGEN,RXL,SDGR,SRPT,TMDX,TMO,UNH,VEEV,VHT,VRTX,XBI,XLV,XRAY
ABBV,1.0,0.17102686915813933,0.23661183420419454,0.49688667973615813,0.42561922952956427,0.3225974780909908,0.09326661039375526,0.1416130196591174,0.08343907721069597,0.19043637705621183,0.18943021838615037,0.16575680950392524,0.3594318121302879,0.4533604192350645,0.4894979774948557,0.45889782340987056,0.2450944642399653,0.3383032851483466,0.5042620742177845,0.3921811870153155,0.501928123741112,0.0939341832149786,0.07937024086617563,0.4708514176138413,0.2391757094432896,0.3571026386408221,0.24194997199910948,0.6446491142601878,0.11144438134785228,0.18270032517636284,0.1179326835104907,0.376703742898663,0.36845086239608316,0.16435902077572867,0.6329083628857157,0.37908692566196667,0.3419688527222556,0.6551863025403476,0.2991821716014058
ACAD,0.17102686915813933,1.0,0.2632848970285918,0.2294634459850231,0.15773895277301245,0.2280725609052591,0.10236028725267714,0.3506979501190098,0.14772368516191986,0.20304132379904907,0.24679099939616936,0.22124073372745792,0.19939613369338727,0.44277480589672985,0.30492570831888566,0.30837198713745356,0.26083371594796984,0.29007459715141937,0.14785179694461942,0.15191352669239297,0.1613299751012333,0.12455905278388821,0.1828955223752518,0.13205236777815102,0.3396097309218467,0.20423599333143988,0.2474541730487815,0.3285927374857388,0.25265930561995914,0.22976647665094582,0.19524712045133588,0.22815565649459413,0.18139341765575936,0.23093131936756386,0.35227084148373616,0.29878664185572046,0.4785609901948517,0.3098192196615749,0.2433594150926247
ALGN,0.23661183420419454,0.2632848970285918,1.0,0.2440470070218309,0.24906307708065542,0.2258692599688161,0.15431816339887147,0.36854397808139294,0.19164137348465807,0.4062261728974904,0.18173563537681786,0.39499005710467483,0.14259226009048456,0.4980990784533127,0.4344379348183299,0.6101282375200002,0.43800609263901796,0.25602678612749014,0.23487894594098713,0.1428989951348642,0.18251668200147253,0.19921851215104006,0.20762940431209642,0.2060533044903435,0.3359546940598859,0.18808855574687414,0.4134905151681277,0.5034933487046183,0.33249662043653977,0.20962040316717762,0.2904949468249794,0.4086522503146993,0.25296457354384383,0.37898158550582606,0.5299349396978491,0.21854213030403202,0.49425402495515625,0.48791118572997394,0.49267726995334815
AMGN,0.49688667973615813,0.2294634459850231,0.2440470070218309,1.0,0.41031937028288085,0.38597294750629574,0.20000991907550847,0.2449247934467192,0.0990993563443467,0.16849137430855315,0.20123540154184077,0.17692496714318715,0.4819239412756578,0.5801691426746721,0.49006457830040406,0.46445423964711624,0.31592705905296337,0.36819740509042354,0.5418813563481547,0.39046958471628745,0.4803436692077642,0.16652669940046644,0.1237428034369715,0.456442789838045,0.2672118525131219,0.4350658219221866,0.2512970242347467,0.6458439499279073,0.13830801580071833,0.22249030795893146,0.1535976923749892,0.41271524221741557,0.3726884281089221,0.24027577022303379,0.6450380991557196,0.450305370156054,0.4115989848507947,0.6562346341459688,0.2628383020923031
AZN,0.42561922952956427,0.15773895277301245,0.24906307708065542,0.41031937028288085,1.0,0.33449871391501707,0.17181279171472505,0.20381604788489413,0.08692113284225329,0.2156144411069544,0.1694363130154162,0.21497887635630664,0.3101226351986885,0.4738719980403384,0.4141142746593956,0.4493370067003357,0.31410789281500207,0.29790178924144,0.42851676481365286,0.40454941688395835,0.4698027611045611,0.17112462622838243,0.13184685768395754,0.41944693740284406,0.28661954512109583,0.3155235871622434,0.28680418427776067,0.5661736709155945,0.19382880295321425,0.18382746180825071,0.1639365246998749,0.40319302642220745,0.2967439566291015,0.25662230927178237,0.5646958940656073,0.36026922878844575,0.3752778104990936,0.5678885561876461,0.20391245040081224
BIIB,0.3225974780909908,0.2280725609052591,0.2258692599688161,0.38597294750629574,0.33449871391501707,1.0,0.13932563383615698,0.27425264219820117,0.12279327496563051,0.209497923437487,0.17654117738344755,0.21817921176086708,0.30439592577769736,0.5154375034214933,0.35388480241473597,0.3756524606811782,0.3100973894008913,0.34269715235614345,0.29229094808006334,0.40422642893776817,0.33728157563792394,0.1730628599163508,0.13084750402442133,0.27916519427203984,0.2897409948939841,0.3454818390271005,0.26183224773586955,0.48168464627882385,0.2018541166842956,0.22258641006259647,0.14508321232837834,0.371342599379214,0.2624488052896529,0.2463394350347071,0.48860745512006903,0.3102307522164376,0.4348771125664386,0.47592252269927715,0.1946491610540042
BNTX,0.09326661039375526,0.10236028725267714,0.15431816339887147,0.20000991907550847,0.17181279171472505,0.13932563383615698,1.0,0.2696508975652268,0.09213333747837071,0.11166495468379918,0.09969219473051948,0.053309341961883236,0.279393414341313,0.4281880591709108,0.14425161355352914,0.2581306546442611,0.19079638156420453,0.15578292608828787,0.22258306944209558,0.2017217979184445,0.15218850196066372,0.5522667248728519,0.3563302691528477,0.3493900859664209,0.1913666372149673,0.2643983859772247,0.2832614313649518,0.2898902463892837,0.1625653762535845,0.08502147963839832,0.20050005489621567,0.27575539633173,0.07204623867198602,0.22896691438424904,0.3038557052235206,0.1853026490531549,0.30747240960225464,0.28658344757876336,0.11802723703107013
CRSP,0.1416130196591174,0.3506979501190098,0.36854397808139294,0.2449247934467192,0.20381604788489413,0.27425264219820117,0.2696508975652268,1.0,0.257594687967388,0.2939857398213503,0.2533452466483289,0.3717535063355811,0.19539503845361675,0.6362738984605045,0.29994470943185875,0.39885960874740833,0.42425673183779067,0.3085602690924979,0.14929514014553613,0.18170741761524128,0.14968651504658928,0.3273229693598064,0.3786846372104233,0.16739959335669102,0.48293108649482186,0.2638126965705502,0.37664999000084703,0.3797473188151566,0.46892447936355114,0.2565539860048482,0.3328987406188871,0.3301177900369151,0.13572864697039783,0.39813592141748666,0.42671114789001846,0.3320015557126035,0.7003444844949714,0.34538842402321107,0.23993725650717723
DRIO,0.08343907721069597,0.14772368516191986,0.19164137348465807,0.0990993563443467,0.08692113284225329,0.12279327496563051,0.09213333747837071,0.257594687967388,1.0,0.17512499365864995,0.14696616334500853,0.18108726508613357,0.05403574716053141,0.2825861267557918,0.17314497226103542,0.2222621545805613,0.2214002445813161,0.12850092450738776,0.0822506885324979,0.0329778811392271,0.08365507450335521,0.13550987892000463,0.1122958063032463,0.08150828634935992,0.1991136619280309,0.043419926725378644,0.19876531844020082,0.18613359944156443,0.2519260671421727,0.13967905552184948,0.17967335973593937,0.18737993490715,0.08136556626684831,0.17198653746993398,0.21111344066350707,0.12480497120133524,0.3205703219490771,0.17120215566843122,0.1279752528207465
DXCM,0.19043637705621183,0.20304132379904907,0.4062261728974904,0.16849137430855315,0.2156144411069544,0.209497923437487,0.11166495468379918,0.2939857398213503,0.17512499365864995,1.0,0.1654766025272587,0.3470787200089992,0.17873397750399944,0.4372268433811283,0.34507418275797425,0.5850856592380681,0.31102620416987214,0.23984781022176485,0.16670437951076306,0.1593912322715321,0.15194868348802387,0.18058077676515555,0.1780805404911383,0.14029890360180292,0.30583418632775394,0.19803059324284591,0.33194854545890434,0.4368264739012224,0.2930826462597187,0.1709835134669595,0.24987617778376608,0.32586151598098306,0.20737140302470128,0.35898333006788125,0.4532774592793579,0.2532368401575985,0.41943436214792584,0.41197071989236256,0.25244570015393664
